(500) Days of Summer,(500) Days of Summer,Plex,PG-13,Surround,No,95,DVD,Movie,2009,
1917,1917,Play Movies,R,Atmos,No,119,Blu-ray,Movie,2019,
2011 NBA Champions: Dallas Mavericks,2011 NBA Champions: Dallas Mavericks,Plex,N/A,Stereo,No,70,DVD,Movie,2011,
A Fairly Odd Summer,A Fairly Odd Summer,Play Movies,G,Stereo,No,67,None,Movie,2014,
A Perfect World,A Perfect World,Plex,PG-13,Surround,No,138,DVD,Movie,1993,
A Stork's Journey,A Stork's Journey,Play Movies,PG,Surround,No,84,None,Movie,2017,
A View to a Kill,A View to a Kill,Plex,PG,Stereo,No,131,Blu-ray,Movie,1985,James Bond 14
Absolute Power,Absolute Power,Plex,R,Surround,No,121,DVD,Movie,1997,
Agatha Christie's Poirot Season 1 (10 Episodes),Agatha Christie's Poirot Season 01 (10 Episodes),Plex,TV-14,Stereo,No,514,DVD,TV,1989,
Agatha Christie's Poirot Season 2 (9 Episodes),Agatha Christie's Poirot Season 02 (9 Episodes),Plex,TV-14,Stereo,No,520,None,TV,1990,
Agatha Christie's Poirot Season 3 (11 Episodes),Agatha Christie's Poirot Season 03 (11 Episodes),Plex,TV-14,Stereo,No,627,None,TV,1990,
Agatha Christie's Poirot Season 4 (3 Episodes),Agatha Christie's Poirot Season 04 (3 Episodes),Plex,TV-14,Stereo,No,317,None,TV,1992,
Agatha Christie's Poirot Season 5 (8 Episodes),Agatha Christie's Poirot Season 05 (8 Episodes),Plex,TV-14,Stereo,No,417,None,TV,1993,
Agatha Christie's Poirot Season 6 (4 Episodes),Agatha Christie's Poirot Season 06 (4 Episodes),Plex,TV-14,Stereo,No,427,None,TV,1995,
Agatha Christie's Poirot Season 7 (2 Episodes),Agatha Christie's Poirot Season 07 (2 Episodes),Plex,TV-14,Stereo,No,206,None,TV,2000,
Agatha Christie's Poirot Season 8 (2 Episodes),Agatha Christie's Poirot Season 08 (2 Episodes),Plex,TV-14,Stereo,No,206,None,TV,2001,
Agatha Christie's Poirot Season 9 (4 Episodes),Agatha Christie's Poirot Season 09 (4 Episodes),Plex,TV-14,Stereo,No,392,None,TV,2003,
Agatha Christie's Poirot Season 10 (4 Eipsodes),Agatha Christie's Poirot Season 10 (4 Eipsodes),Plex,TV-14,Stereo,No,388,None,TV,2005,
Agatha Christie's Poirot Season 11 (4 Episodes),Agatha Christie's Poirot Season 11 (4 Episodes),Plex,TV-14,Stereo,No,388,None,TV,2008,
Agatha Christie's Poirot Season 12 (4 Episodes),Agatha Christie's Poirot Season 12 (4 Episodes),Plex,TV-14,Stereo,No,368,None,TV,2009,
Agatha Christie's Poirot Season 13 (5 Episodes),Agatha Christie's Poirot Season 13 (5 Episodes),Plex,TV-14,Stereo,No,442,None,TV,2013,
Airheads,Airheads,Plex,PG-13,Surround,No,92,DVD,Movie,1994,
Alice in Wonderland,Alice in Wonderland,Plex,G,Surround,No,75,DVD,Movie,1951,
All Creatures Big and Small,All Creatures Big and Small,Play Movies,G,Surround,No,80,None,Movie,2015,
Amityville: The Awakening,Amityville: The Awakening,Play Movies,PG-13,Surround,No,87,None,Movie,2017,
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,Plex,R,Surround,No,98,DVD,Movie,2004,
The Animatrix,Animatrix,DVD,PG-13,Surround,No,89,DVD,Movie,2003,
Ant-Man,Ant-Man,Play Movies,PG-13,Surround,No,117,Blu-ray,Movie,2015,Marvel Phase 2: 6
Anvil: The Story of Anvil,Anvil: The Story of Anvil,Plex,N/A,Surround,No,80,DVD,Movie,2008,
Any Which Way You Can,Any Which Way You Can,Plex,PG,Surround,No,116,DVD,Movie,1980,
Austin Powers in Goldmember,Austin Powers in Goldmember,Plex,PG-13,Surround,No,98,DVD,Movie,2002,
Avatar: The Last Airbender Season 1 (20 Episodes),Avatar: The Last Airbender Season 1 (20 Episodes),Plex,TV-Y7,Stereo,No,489,DVD,TV,2006,
Avatar: The Last Airbender Season 2 (20 Episodes),Avatar: The Last Airbender Season 2 (20 Episodes),Plex,TV-Y7,Stereo,No,492,DVD,TV,2007,
The Avengers,Avengers,Plex,PG-13,Surround,No,143,Blu-ray,Movie,2012,Marvel Phase 1: 6
Avengers: Infinity War,Avengers 3,Play Movies,PG-13,Surround,No,149,None,Movie,2018,Marvel Phase 3: 7
Avengers Endgame,Avengers 4,Play Movies,PG-13,Atmos*,Yes,181,Blu-ray ,Movie,2019,Marvel Phase 3: 10
Bad Santa,Bad Santa,Play Movies,R,Stereo,No,91,None,Movie,2004,
BASEketball,BASEketball,Plex,R,Surround,No,104,DVD,Movie,1998,
Batman Begins,Batman Begins,Plex,PG-13,Surround,No,140,DVD,Movie,2005,The Dark Knight 1
The Dark Knight,Dark Knight,Plex,PG-13,Surround,No,153,DVD,Movie,2008,The Dark Knight 2
The Dark Knight Rises,Dark Knight Rises,Play Movies,PG-13,Surround,No,164,Blu-ray,Movie,2012,The Dark Knight 3
Big,Big,Play Movies,PG,Surround,No,104,None,Movie,1988,
Big Hero 6,Big Hero 6,Play Movies,PG,Surround,No,101,None,Movie,2014,
The Big Lebowski,Big Lebowski,Plex,R,Surround,No,118,DVD,Movie,1998,
Bird,Bird,Plex,R,Surround,No,160,DVD,Movie,1988,
Black Panther,Black Panther,Play Movies,PG-13,Surround,No,134,Blu-ray,Movie,2018,Marvel Phase 3: 6
Blades of Glory,Blades of Glory,Plex,PG-13,Surround,No,93,DVD,Movie,2007,
Blank: A Vinylmation,Blank: A Vinylmation,Play Movies,N/A,Surround,No,37,None,Movie,2014,
Blazing Saddles,Blazing Saddles,Plex,R,Surround,No,93,DVD,Movie,1974,
Blood Work,Blood Work,Plex,R,Surround,No,110,DVD,Movie,2002,
Bloodsuckers from Outer Space,Bloodsuckers from Outer Space,Plex,R,Stereo,No,80,DVD,Movie,1984,
Blue Collar Comedy Tour: The Movie,Blue Collar Comedy Tour: The Movie,Plex,PG-13,Surround,No,106,DVD,Movie,2003,
Bowfinger,Bowfinger,Plex,PG-13,Surround,No,97,DVD,Movie,1999,
The Bridges of Madison County,Bridges of Madison County,Plex,PG-13,Surround,No,134,DVD,Movie,1995,
Bronco Billy,Bronco Billy,Plex,PG,Stereo,No,116,DVD,Movie,1980,
